运行时间-time,TBM倾角,TBM翻转角,推进速度,贯入度,总推进力,推进工作状态,A组辅助推进压力设置,B组辅助推进压力设置,C组辅助推进压力设置,D组辅助推进压力设置,推进速度设置,液压油箱温度,液压油箱回油区温度,液压油泄漏油压力,油箱加压压力,齿轮油箱温度,液压油箱温度正常,液压油箱液位,齿轮油箱液位,齿轮油回油温度,内循环冷却水箱温度,外循环冷却水箱温度,通风制冷水箱液温度,主驱动冷却水回水温度,外循环热水箱温度,外循环冷水箱压力,外循环热水箱压力,外循环冷水箱液位,外循环热水箱液位,主轴承齿轮油总流量,1#齿轮油流量,2#齿轮油流量,3#齿轮油流量,1#齿轮油回油流量,2#齿轮油回油流量,鞍架齿轮油流量,主驱动冷却水流量,刀盘喷水流量,主轴承外密封第一道冲洗水流量,主轴承内密封第一道冲洗水流量,齿轮油回油流量正常,齿轮油回油温度正常,小齿轮轴承润滑齿轮油脉冲计数器1,小齿轮轴承润滑齿轮油脉冲计数器2,小齿轮润滑齿轮油脉冲计数器1,小齿轮润滑齿轮油脉冲计数器2,小齿轮润滑齿轮油脉冲计数器3,小齿轮润滑齿轮油脉冲计数器4,主轴承滚道润滑齿轮油脉冲计数器1,主轴承滚道润滑齿轮油脉冲计数器2,主轴承滚道润滑齿轮油脉冲计数器3,主轴承滚道润滑齿轮油脉冲计数器4,主轴承滚道润滑齿轮油脉冲计数器5,主轴承滚道润滑齿轮油脉冲计数器6,小齿轮轴承润滑齿轮油流量1,小齿轮轴承润滑齿轮油流量2,小齿轮润滑齿轮油流量1,小齿轮润滑齿轮油流量2,小齿轮润滑齿轮油流量3,小齿轮润滑齿轮油流量4,主轴承滚道润滑齿轮油流量1,主轴承滚道润滑齿轮油流量2,主轴承滚道润滑齿轮油流量3,主轴承滚道润滑齿轮油流量4,主轴承滚道润滑齿轮油流量5,主轴承滚道润滑齿轮油流量6,主轴承滚道润滑齿轮油流量7,主轴承滚道润滑齿轮油流量8,小齿轮轴承润滑齿轮油1正常,主轴承外密封CA腔油脂脉冲计数器1,主轴承外密封CA腔油脂脉冲计数器2,主轴承外密封FA和DY腔油脂脉冲计数器2,主轴承内密封CIA腔油脂脉冲计数器1,主轴承内密封CIA腔油脂脉冲计数器2,主轴承内密封FIADIY腔油脂脉冲计数器1,主轴承内密封FIADIY腔油脂脉冲计数器2,主轴承外密封CA腔油脂流量1,主轴承外密封CA腔油脂流量2,主轴承外密封FA和DY腔油脂流量1,主轴承外密封FA和DY腔油脂流量2,主轴承内密封CIA腔油脂流量1,主轴承内密封CIA腔油脂流量2,主轴承内密封FIADIY腔油脂流量1,主轴承内密封FIADIY腔油脂流量2,气动油脂泵脉冲计数器,齿轮油流量旁通状态,油脂流量旁通状态,刀盘喷水压力,刀盘喷水流量正常,刀盘冷却润滑密封正常,旁通刀盘最小速度,拉回刀盘模式,刀盘工作状态,刀盘速度,刀盘转速,刀盘转矩,刀盘平均电流,刀盘正转,刀盘反转,刀盘角度,刀盘速度设置,砼送泵电流检测,刀盘喷水注入总量,刀盘制动器压力,电机冷却水流量正常,主驱动电机1电流,主驱动电机1扭矩,主驱动电机1速度,主驱动电机1温度,主驱动电机2电流,主驱动电机2扭矩,主驱动电机2速度,主驱动电机2温度,主驱动电机3电流,主驱动电机3扭矩,主驱动电机3速度,主驱动电机3温度,主驱动电机4电流,主驱动电机4扭矩,主驱动电机4速度,主驱动电机4温度,主驱动电机5电流,主驱动电机5扭矩,主驱动电机5速度,主驱动电机5温度,主驱动电机6电流,主驱动电机6扭矩,主驱动电机6速度,主驱动电机6温度,主驱动电机7电流,主驱动电机7扭矩,主驱动电机7速度,主驱动电机7温度,主驱动电机8电流,主驱动电机8扭矩,主驱动电机8速度,主驱动电机8温度,主驱动电机9电流,主驱动电机9扭矩,主驱动电机9速度,主驱动电机9温度,主驱动电机10电流,主驱动电机10扭矩,主驱动电机10速度,主驱动电机10温度,主驱动电机11电流,主驱动电机11扭矩,主驱动电机11速度,主驱动电机11温度,主驱动电机12电流,主驱动电机12扭矩,主驱动电机12速度,主驱动电机12温度,主驱动电机13电流,主驱动电机13扭矩,主驱动电机13速度,主驱动电机13温度,主驱动电机14电流,主驱动电机14扭矩,主驱动电机14速度,主驱动电机14温度,主驱动电机15电流,主驱动电机15扭矩,主驱动电机15速度,主驱动电机15温度,主驱动电机16电流,主驱动电机16扭矩,主驱动电机16速度,主驱动电机16温度,推进泵电机电流,撑靴泵电机电流,复位泵电机电流,齿轮油回油泵电机电流,辅助泵电机电流,主机皮带机泵电机电流,后配套皮带机电流反馈,后配套皮带机速度反馈,2#齿轮油泵电机电流,小于30kW电机总电流,锚杆钻机总电流检测,旁通主机皮带机,旁通后配套皮带机,旁通连续皮带机,主机皮带机速度设置电位器,后配套皮带机速度设置电位器,主机皮带机速度,后配套皮带机速度,连续皮带机速度,2#后配套皮带机速度,后配套皮带机工作状态,后配套拖拉力,后配套拖拉缸有杆腔压力,后配套拖拉缸无杆腔压力,左后配套拖拉缸有杆腔压力,左后配套拖拉缸无杆腔压力,右后配套拖拉缸有杆腔压力,右后配套拖拉缸无杆腔压力,后配套拖拉油缸行程,撑靴撑紧力,撑靴复位控制油压力1,撑靴撑紧压力,左撑靴有杆腔压力,右撑靴有杆腔压力,左撑靴位移,右撑靴位移,撑靴位移,撑靴位移差,左辅助撑靴油缸压力,右辅助撑靴油缸压力,左辅助撑靴油缸行程,右辅助撑靴油缸行程,左侧辅助撑靴撑紧压力,左侧辅助撑靴缩回压力,右侧辅助撑靴撑紧压力,右侧辅助撑靴缩回压力,左侧辅助撑靴油缸行程2,右侧辅助撑靴油缸行程1,右侧辅助撑靴油缸行程2,变频冷却外循环水流量,变频冷却内循环水流量,变频冷却内循环水压力,变频冷却外循环水温度,变频冷却内循环出水温度,变频冷却内循环回水温度,1#顶护盾缸无杆腔压力,2#顶护盾缸无杆腔压力,左护盾缸有杆腔压力,左护盾缸无杆腔压力,右护盾缸有杆腔压力,右护盾缸无杆腔压力,顶护盾位移,左护盾位移,右护盾位移,左楔块缸有杆腔压力,左楔块缸无杆腔压力,右楔块缸有杆腔压力,右楔块缸无杆腔压力,推进缸有杆腔压力,推进缸无杆腔压力,左扭矩缸无杆腔压力,左扭矩缸有杆腔压力,右扭矩缸无杆腔压力,右扭矩缸有杆腔压力,左扭矩缸位移,右扭矩缸位移,左后支撑压力,右后支撑压力,左后支撑位移,右后支撑位移,左后支撑行程,右后支撑行程,前部鞍架支撑有杆腔压力,前部鞍架支撑无杆腔压力,后部鞍架支撑有杆腔压力,后部鞍架支撑无杆腔压力,1#辅推油缸无杆腔压力,2#辅推油缸无杆腔压力,3#辅推油缸无杆腔压力,4#辅推油缸无杆腔压力,5#辅推油缸无杆腔压力,6#辅推油缸无杆腔压力,7#辅推油缸无杆腔压力,8#辅推油缸无杆腔压力,9#辅推油缸无杆腔压力,后配套左拖拉油缸位移,后配套右拖拉油缸位移,升降平台1#油缸行程,升降平台2#油缸行程,左鞍架支腿油缸压力,右鞍架支腿油缸压力,左鞍架支腿油缸行程,右鞍架支腿油缸行程,拖拉油缸行程,前部鞍架支撑调正油缸有杆腔压力,前部鞍架支撑调正油缸无杆腔压力,后部鞍架支撑调正油缸有杆腔压力,后部鞍架支撑调正油缸无杆腔压力,推进位移,氧气浓度,一氧化碳浓度,硫化氢浓度,粉尘含量,主驱动甲烷含量,连接桥甲烷含量,除尘风机出口甲烷含量,二氧化碳含量,一氧化氮含量,二氧化硫含量,1#变频水冷系统内循环水温度,1#变频水冷系统内循环水进水压力,1#变频水冷系统内循环出水流量,1#变频水冷系统内循环出水温度,1#变频水冷系统内循环进水压力,1#变频水冷系统冷源水进水温度,1#变频水冷系统冷源水进水压力,2#变频水冷系统内循环水温度,2#变频水冷系统内循环水进水压力,2#变频水冷系统内循环出水流量,2#变频水冷系统内循环出水温度,2#变频水冷系统内循环进水压力,2#变频水冷系统冷源水进水温度,2#变频水冷系统冷源水进水压力,1#气泵运行,2#气泵运行,刀盘里程,主梁里程,刀盘水平偏差,刀盘垂直偏差,主梁水平偏差,主梁垂直偏差,刀盘水平趋向,刀盘垂直趋向,主梁水平趋向,主梁垂直趋向,刀盘东向坐标,刀盘北向坐标,刀盘高程,主梁处东向坐标,主梁处北向坐标,主梁处高程
"2023/10/24 15:39:47",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,31,32,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,19040,0,172,72,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,61,5,23,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.7,1,0,0,0,0,0,0,0,0,37.2,1.5,0,38.3,1.5,32.2,1.2,34.2,1.4,0,35.8,1.5,31.1,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:40:17",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,31,31,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,63,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,19040,0,172,72,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,61,5,23,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.7,1,0,0,0,0,0,0,0,0,37.2,1.5,0,38.2,1.5,31.9,1.2,34.4,1.4,0,35.8,1.5,30.7,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:40:48",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,31,31,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,64,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,19040,0,172,72,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,62,5,23,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.7,1,0,0,0,0,0,0,0,0,37.3,1.5,0,38.2,1.5,31.5,1.2,34.2,1.4,0,35.8,1.5,30.3,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:41:19",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,30,31,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,19040,0,172,72,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,62,5,22,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.7,1,0,0,0,0,0,0,0,0,37.3,1.5,0,38.2,1.5,31.2,1.2,34.7,1.4,0,35.8,1.5,29.7,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:41:50",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,30,31,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,53,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,19040,0,172,72,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,62,5,23,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.6,1,0,0,0,0,0,0,0,0,37.3,1.5,0,38.2,1.5,30.8,1.2,34.4,1.4,0,35.8,1.5,29.2,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:42:20",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,29,30,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,53,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,19040,0,172,72,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,62,5,22,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.8,1,0,0,0,0,0,0,0,0,37.4,1.5,0,38.2,1.5,30.2,1.2,34.3,1.4,0,35.8,1.5,28.9,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:42:51",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,29,30,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,19040,0,172,72,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,61,5,22,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.7,1,0,0,0,0,0,0,0,0,37.2,1.5,0,38.2,1.5,29.8,1.2,34.4,1.4,0,35.8,1.5,28.6,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:43:22",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,29,30,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,19060,0,172,71,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,61,5,22,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.7,1,0,0,0,0,0,0,0,0,37.1,1.5,0,38.2,1.5,29.4,1.2,34.3,1.4,0,35.8,1.5,28.4,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:43:54",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,29,29,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,18920,0,171,71,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,61,5,22,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.7,1,0,0,0,0,0,0,0,0,37.2,1.5,0,38.2,1.5,29.1,1.2,34.3,1.4,0,35.8,1.5,28.1,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
"2023/10/24 15:44:24",0,0,0,0,0,0,0,0,0,0,36.8,35,0,0.3,-1,34,2,0,0,29,28,29,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14774,3959,27769,-15048,23771,13411,-11958,0,0,0,0,0,0,0,0,17536,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,2598,1,0,0,0,0,61,0,0,0,40,0,0,0,41,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,37,0,0,0,39,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,41,0,0,0,42,0,0,0,41,0,0,0,41,0,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454,53,0,0,0,0,0,1244,18920,0,171,71,59,524,488,1012,36,0,0,0,0,0,0,0,0,-106,-106,0,0,0,0,0,0,0,74,121,20,228,7,219,71,41,54,13,163,19,202,2,0,0,76,-1,110,68,61,5,22,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,0,0,0,0,963,20.7,1,0,0,0,0,0,0,0,0,37.2,1.5,0,38.2,1.5,28.9,1.2,34.3,1.4,0,35.8,1.5,27.9,2.1,2,0,4219.833,0,10,74,10,-50,0,8,0,-50,499500.739,-1017291.49,3049.834,459101,-1017301.965,3049.341
